                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8107,                 1.0642,                0.97809,                 0.6605,                0.56023,                 0.6335,                0.44269,                0.83178,                 1.2454,                0.97337,               0.011165,               0.011165,               0.011165
                     37,                0.80078,                 1.0564,                 0.9726,                0.59281,                0.49927,                0.53601,                0.41033,                0.71883,                 1.4318,                0.92358,                0.01113,                0.01113,                0.01113
                     38,                0.78373,                 1.0406,                0.96695,                0.65754,                0.58809,                0.65966,                0.47219,                0.76183,                 1.2257,                0.94877,               0.011095,               0.011095,               0.011095
                     39,                0.80345,                 1.0613,                0.97288,                 0.6859,                0.64136,                0.67161,                0.50141,                0.73672,                 1.1152,                0.92957,                0.01106,                0.01106,                0.01106
                     40,                0.78565,                 1.0115,                0.96065,                0.62188,                0.56545,                0.60395,                0.44443,                0.77123,                 1.4651,                0.94205,               0.011025,               0.011025,               0.011025
                     41,                0.80173,                 1.0381,                0.97166,                0.64921,                 0.6178,                0.64777,                0.48746,                 0.7558,                  1.199,                0.93904,                0.01099,                0.01099,                0.01099
                     42,                0.79188,                  1.022,                0.96473,                0.80082,                0.55497,                0.69116,                0.50347,                0.79181,                 1.0624,                0.94859,               0.010955,               0.010955,               0.010955
                     43,                0.78807,                 1.0074,                 0.9625,                0.71478,                0.58639,                0.64633,                0.49172,                0.73256,                 1.2477,                0.92727,                0.01092,                0.01092,                0.01092
                     44,                 0.7879,                 1.0073,                0.96245,                0.67307,                0.62565,                0.68326,                0.49792,                0.77174,                 1.1484,                0.93691,               0.010885,               0.010885,               0.010885
                     45,                0.76989,                0.96088,                0.95254,                  0.704,                0.66754,                 0.7156,                0.54419,                0.70559,                 1.0733,                0.92007,                0.01085,                0.01085,                0.01085
                     46,                0.77571,                 0.9769,                0.95839,                0.66682,                0.53965,                0.59629,                0.45084,                0.70869,                 1.4596,                 0.9224,               0.010815,               0.010815,               0.010815
                     47,                0.77895,                0.98696,                0.95538,                0.65584,                 0.6623,                0.70529,                0.52785,                0.70124,                 1.1024,                0.90757,                0.01078,                0.01078,                0.01078
                     48,                0.76628,                0.97444,                 0.9507,                 0.7061,                0.59948,                0.65104,                0.48615,                0.74015,                 1.2611,                0.91749,               0.010745,               0.010745,               0.010745
                     49,                0.76312,                0.94263,                0.94634,                0.73125,                0.63613,                0.70841,                0.53931,                0.70745,                 1.1608,                0.90794,                0.01071,                0.01071,                0.01071
                     50,                0.75955,                0.95958,                0.94789,                0.78692,                0.61257,                 0.7202,                0.53869,                0.72202,                 1.0295,                0.92227,               0.010675,               0.010675,               0.010675
                     51,                0.75616,                0.94221,                0.94218,                 0.7958,                0.59424,                0.69478,                0.53089,                0.70364,                 1.1558,                0.90483,                0.01064,                0.01064,                0.01064
                     52,                0.76515,                0.95032,                0.94479,                0.68098,                0.58639,                0.64778,                 0.4842,                 0.7105,                 1.2623,                0.91049,               0.010605,               0.010605,               0.010605
                     53,                 0.7555,                0.94857,                0.93995,                0.79257,                0.60209,                0.70917,                0.52878,                0.71665,                 1.0364,                 0.9118,                0.01057,                0.01057,                0.01057
                     54,                0.75623,                0.93175,                0.94336,                0.74329,                0.65183,                0.71737,                0.52797,                0.75352,                  1.065,                 0.9286,               0.010535,               0.010535,               0.010535
                     55,                0.74825,                0.92392,                0.94019,                0.74673,                0.59162,                0.66494,                0.49813,                0.71774,                 1.1513,                0.91314,                 0.0105,                 0.0105,                 0.0105
                     56,                0.74192,                0.90227,                0.93674,                0.82823,                 0.6185,                0.73929,                0.55465,                0.72311,                0.95569,                0.92248,               0.010465,               0.010465,               0.010465
                     57,                0.75153,                0.89645,                0.93592,                0.75172,                 0.6466,                0.72149,                0.54639,                0.69405,                0.97227,                0.90486,                0.01043,                0.01043,                0.01043
                     58,                0.74718,                0.92855,                0.93834,                0.80396,                0.64415,                0.74341,                0.56591,                0.69601,                 1.0206,                0.91138,               0.010395,               0.010395,               0.010395
                     59,                0.74049,                0.91383,                0.93422,                0.74611,                0.65969,                0.74024,                0.57418,                0.66533,                 0.9282,                0.90149,                0.01036,                0.01036,                0.01036
                     60,                 0.7282,                0.88336,                0.92487,                0.77053,                 0.6178,                0.71574,                0.54784,                0.68713,                 1.0336,                0.90674,               0.010325,               0.010325,               0.010325
                     61,                0.73421,                0.87891,                0.92661,                0.77012,                0.62827,                0.72474,                0.54738,                0.69818,                0.96339,                0.91232,                0.01029,                0.01029,                0.01029
                     62,                0.73416,                0.88595,                0.93061,                0.66496,                0.58377,                0.63643,                0.49329,                0.70094,                 1.3307,                0.90438,               0.010255,               0.010255,               0.010255
                     63,                0.73292,                0.87887,                 0.9288,                0.73409,                0.67277,                0.73056,                0.55191,                0.70192,                  1.009,                0.90924,                0.01022,                0.01022,                0.01022
                     64,                0.73301,                0.87037,                0.92824,                0.86021,                 0.6623,                0.76453,                0.58633,                0.67313,                0.91684,                0.90178,               0.010185,               0.010185,               0.010185
                     65,                0.72864,                0.85227,                0.92047,                0.80639,                0.65969,                0.74743,                0.57752,                0.67398,                0.97799,                0.89864,                0.01015,                0.01015,                0.01015
                     66,                0.73657,                 0.8834,                0.92798,                0.78829,                0.61518,                0.72851,                 0.5643,                0.67322,                0.98837,                0.89194,               0.010115,               0.010115,               0.010115
                     67,                0.72639,                0.86534,                0.92361,                0.79189,                0.67539,                0.75053,                0.57609,                0.67312,                 0.9189,                0.90068,                0.01008,                0.01008,                0.01008
                     68,                0.73184,                0.86377,                0.92697,                0.77181,                0.67291,                0.74766,                0.57441,                0.67241,                0.93874,                0.89556,               0.010045,               0.010045,               0.010045
                     69,                0.72882,                0.85135,                0.92165,                 0.8021,                 0.6178,                0.71281,                0.54459,                0.68692,                 1.1406,                 0.9005,               0.010011,               0.010011,               0.010011
                     70,                0.71425,                0.84054,                0.91423,                0.83698,                0.65707,                0.75869,                0.59005,                0.66769,                0.92841,                0.89441,              0.0099755,              0.0099755,              0.0099755
                     71,                0.70785,                0.83078,                0.91933,                0.81492,                0.69895,                0.76175,                0.57768,                0.69651,                0.97022,                  0.901,              0.0099405,              0.0099405,              0.0099405
                     72,                0.71453,                0.83648,                 0.9191,                0.79182,                0.65445,                0.74501,                0.57319,                   0.66,                0.97299,                 0.8918,              0.0099055,              0.0099055,              0.0099055
                     73,                0.71563,                0.83592,                0.91413,                0.75161,                0.69707,                 0.7411,                0.56687,                0.67765,                 1.0108,                0.89733,              0.0098705,              0.0098705,              0.0098705
                     74,                  0.713,                0.82811,                0.91737,                0.74236,                0.70157,                0.75531,                0.57937,                0.67211,                0.96167,                0.89453,              0.0098355,              0.0098355,              0.0098355
                     75,                0.71598,                0.81962,                0.92035,                0.78175,                0.68449,                0.74884,                0.58176,                0.64872,                0.96545,                0.88563,              0.0098006,              0.0098006,              0.0098006
                     76,                0.71281,                0.82773,                0.91353,                0.83638,                0.65183,                0.74734,                0.57761,                0.66027,                0.97543,                0.89343,              0.0097656,              0.0097656,              0.0097656
                     77,                0.70318,                0.81573,                0.91035,                0.80342,                0.68475,                0.76641,                0.58599,                0.66045,                0.91587,                 0.8933,              0.0097306,              0.0097306,              0.0097306
                     78,                0.70436,                0.81079,                 0.9086,                0.81367,                0.65183,                0.75649,                0.58789,                0.65801,                0.92403,                0.88737,              0.0096956,              0.0096956,              0.0096956
                     79,                0.71451,                0.81751,                0.91251,                0.79134,                0.69634,                0.76533,                0.59995,                0.63949,                 0.8691,                0.88326,              0.0096606,              0.0096606,              0.0096606
                     80,                0.71182,                0.81077,                0.91069,                0.80004,                0.68079,                  0.762,                0.58333,                0.67915,                0.96788,                0.89969,              0.0096256,              0.0096256,              0.0096256
                     81,                0.70292,                0.79049,                0.91028,                0.79054,                0.68325,                0.76897,                0.58563,                0.68678,                0.89953,                0.90085,              0.0095906,              0.0095906,              0.0095906
                     82,                0.70021,                0.80238,                0.91218,                0.79703,                0.67801,                0.76425,                0.58723,                0.65685,                0.88971,                0.89207,              0.0095556,              0.0095556,              0.0095556
