                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75466,                  1.107,                 1.0332,                 0.7204,                0.54635,                 0.6668,                0.50985,                 0.6828,                  1.359,                0.97603,               0.011165,               0.011165,               0.011165
                     37,                0.75363,                 1.1009,                  1.034,                0.74617,                0.55759,                0.65966,                0.51815,                0.64876,                 1.2991,                0.95856,                0.01113,                0.01113,                0.01113
                     38,                 0.7385,                 1.0718,                 1.0246,                0.74906,                0.59389,                0.67622,                0.51198,                 0.6617,                 1.3822,                 0.9639,               0.011095,               0.011095,               0.011095
                     39,                0.74334,                 1.0566,                 1.0266,                0.65927,                0.62807,                0.67205,                0.51865,                0.63866,                 1.2504,                0.95862,                0.01106,                0.01106,                0.01106
                     40,                0.72954,                 1.0554,                 1.0202,                0.72717,                0.62098,                0.70056,                 0.5353,                0.64753,                 1.2307,                0.95452,               0.011025,               0.011025,               0.011025
                     41,                 0.7375,                  1.062,                 1.0208,                0.70604,                0.58473,                0.67791,                0.51626,                0.63905,                 1.4362,                0.95472,                0.01099,                0.01099,                0.01099
                     42,                0.73109,                 1.0402,                 1.0152,                0.80981,                 0.5733,                 0.6985,                 0.5359,                0.65986,                 1.2218,                0.95538,               0.010955,               0.010955,               0.010955
                     43,                0.72565,                 1.0197,                 1.0152,                0.72271,                0.62827,                0.71252,                0.54401,                0.64618,                 1.2021,                0.95447,                0.01092,                0.01092,                0.01092
                     44,                0.72815,                 1.0192,                   1.02,                0.75964,                 0.5733,                0.68766,                0.54347,                0.61264,                 1.2018,                0.93755,               0.010885,               0.010885,               0.010885
                     45,                0.71811,                 1.0003,                 1.0055,                0.80898,                0.56806,                0.69698,                0.53736,                0.66702,                 1.2522,                0.96142,                0.01085,                0.01085,                0.01085
                     46,                0.72076,                 1.0242,                 1.0077,                0.76382,                0.57853,                0.71302,                0.55246,                0.65256,                 1.1298,                0.94879,               0.010815,               0.010815,               0.010815
                     47,                 0.7226,                 1.0073,                 1.0088,                0.76569,                0.60471,                0.71389,                0.56042,                0.62418,                 1.1553,                0.93432,                0.01078,                0.01078,                0.01078
                     48,                0.72007,                 1.0032,                 1.0043,                0.75004,                0.64921,                 0.7341,                0.56258,                 0.6327,                 1.1356,                0.93422,               0.010745,               0.010745,               0.010745
                     49,                0.70379,                0.97483,                0.99342,                0.71541,                0.64921,                0.70828,                0.54343,                0.62807,                 1.1728,                0.94065,                0.01071,                0.01071,                0.01071
                     50,                0.71416,                0.97346,                 1.0013,                0.78833,                0.65183,                0.74408,                0.58433,                0.60776,                 1.0753,                0.92393,               0.010675,               0.010675,               0.010675
                     51,                0.70278,                0.95858,                0.99308,                0.77287,                0.61518,                0.73323,                0.56456,                 0.6272,                 1.0727,                0.93308,                0.01064,                0.01064,                0.01064
                     52,                0.71232,                 0.9746,                 1.0039,                0.76073,                0.60471,                0.73556,                0.56539,                0.62793,                 1.0717,                0.93538,               0.010605,               0.010605,               0.010605
                     53,                0.71469,                0.96615,                 1.0014,                0.77392,                0.64136,                0.76329,                0.60104,                0.60479,                 1.0032,                0.92109,                0.01057,                0.01057,                0.01057
                     54,                0.69824,                0.94949,                0.99358,                0.72949,                0.66359,                0.74259,                0.57799,                0.61977,                 1.0513,                0.93136,               0.010535,               0.010535,               0.010535
                     55,                0.70953,                0.94775,                 1.0004,                0.77039,                 0.6178,                0.74152,                0.58127,                0.59901,                 1.0443,                0.92482,                 0.0105,                 0.0105,                 0.0105
                     56,                 0.7044,                 0.9473,                0.99363,                 0.8099,                0.65445,                0.76403,                0.60236,                 0.6053,                 1.0121,                0.92164,               0.010465,               0.010465,               0.010465
                     57,                0.70812,                0.95115,                0.99279,                0.76617,                0.64136,                0.75988,                0.59616,                0.61418,                 1.0243,                0.91911,                0.01043,                0.01043,                0.01043
                     58,                0.70045,                 0.9233,                0.99051,                0.81128,                0.61518,                0.73881,                 0.5783,                0.62275,                 1.0697,                0.92773,               0.010395,               0.010395,               0.010395
                     59,                0.69617,                0.91618,                0.98417,                0.76874,                0.64921,                0.74259,                0.58355,                0.60814,                 1.0996,                0.92633,                0.01036,                0.01036,                0.01036
                     60,                0.69182,                0.90816,                0.98301,                0.76519,                0.67277,                0.75497,                0.60043,                 0.5887,                0.99289,                0.91124,               0.010325,               0.010325,               0.010325
                     61,                0.69079,                0.91905,                0.98075,                0.79987,                0.67277,                0.77307,                0.61454,                0.58785,                0.97345,                0.91493,                0.01029,                0.01029,                0.01029
                     62,                0.68515,                0.89669,                0.97851,                0.81483,                0.63358,                0.75944,                0.59971,                0.61665,                 1.0153,                0.92266,               0.010255,               0.010255,               0.010255
                     63,                0.68854,                0.90415,                0.98008,                0.73513,                0.68297,                0.76389,                0.60581,                0.59442,                 0.9876,                0.91563,                0.01022,                0.01022,                0.01022
                     64,                 0.6879,                 0.9075,                0.97632,                0.86505,                0.60733,                0.75897,                0.58933,                0.61346,                  1.023,                0.92455,               0.010185,               0.010185,               0.010185
                     65,                0.68195,                0.88625,                0.98038,                0.80448,                0.65707,                0.76284,                0.59455,                0.59085,                0.97834,                0.91418,                0.01015,                0.01015,                0.01015
                     66,                0.68241,                0.88748,                0.97858,                0.74872,                  0.702,                0.76826,                0.60526,                0.59037,                0.96053,                0.91294,               0.010115,               0.010115,               0.010115
                     67,                0.68039,                 0.8953,                0.97664,                 0.8236,                0.66492,                0.78364,                0.61282,                0.60665,                0.94851,                0.91816,                0.01008,                0.01008,                0.01008
                     68,                0.68338,                0.88555,                0.97579,                0.85705,                0.64349,                0.77546,                0.60776,                0.60558,                0.95163,                0.91782,               0.010045,               0.010045,               0.010045
                     69,                0.67954,                0.85614,                0.97352,                0.81994,                0.68325,                0.79069,                0.61923,                0.60062,                0.93179,                0.91355,               0.010011,               0.010011,               0.010011
                     70,                0.68647,                0.86578,                0.97468,                0.80689,                0.70003,                0.78673,                0.61738,                0.59666,                0.93714,                0.91209,              0.0099755,              0.0099755,              0.0099755
                     71,                0.66879,                0.84559,                0.97079,                0.80884,                0.69895,                0.79296,                0.62827,                0.58662,                0.92057,                0.90728,              0.0099405,              0.0099405,              0.0099405
                     72,                0.66705,                0.84392,                0.96676,                0.85418,                0.62872,                0.78963,                0.62535,                 0.5953,                0.94795,                0.91191,              0.0099055,              0.0099055,              0.0099055
                     73,                0.67184,                0.84671,                0.96703,                0.85027,                0.66492,                0.79762,                0.63404,                 0.5836,                0.92194,                0.90568,              0.0098705,              0.0098705,              0.0098705
                     74,                0.67522,                 0.8489,                0.96769,                0.81561,                0.68063,                0.79432,                0.63015,                0.57883,                0.93306,                0.90449,              0.0098355,              0.0098355,              0.0098355
                     75,                0.67496,                0.84027,                0.96923,                0.81283,                0.69347,                 0.7905,                0.62339,                0.58477,                0.94146,                0.90827,              0.0098006,              0.0098006,              0.0098006
                     76,                0.67317,                0.84777,                0.97405,                0.78906,                0.69895,                 0.7913,                0.62754,                0.58223,                0.94803,                0.90533,              0.0097656,              0.0097656,              0.0097656
                     77,                 0.6672,                0.82529,                0.96612,                0.77352,                 0.7199,                  0.798,                0.63244,                0.59627,                0.93124,                0.91265,              0.0097306,              0.0097306,              0.0097306
                     78,                0.66553,                0.82796,                0.96157,                0.84636,                0.68586,                 0.8055,                0.63513,                0.58968,                0.90466,                0.90785,              0.0096956,              0.0096956,              0.0096956
                     79,                0.66376,                0.83181,                0.96419,                0.79534,                0.72251,                0.81004,                0.64301,                0.58834,                0.89672,                0.90662,              0.0096606,              0.0096606,              0.0096606
                     80,                0.66376,                0.83445,                0.96405,                0.80856,                0.69656,                0.80275,                0.63628,                0.58655,                0.91226,                0.90681,              0.0096256,              0.0096256,              0.0096256
                     81,                0.66207,                0.81132,                0.96154,                 0.8083,                0.69634,                0.79481,                0.63336,                 0.5833,                0.92379,                0.90322,              0.0095906,              0.0095906,              0.0095906
