                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1112,                0.90818,                 1.2339,                 0.7234,                0.71204,                0.76801,                0.61176,                0.98701,                 1.1323,                 1.2418,              0.0090383,              0.0090383,              0.0090383
                     36,                 1.0968,                0.89572,                 1.2252,                0.81964,                0.64921,                0.78077,                0.60944,                0.98882,                 1.0608,                 1.2401,                0.00901,                0.00901,                0.00901
                     37,                 1.0897,                0.88009,                 1.2192,                 0.7772,                0.68325,                0.76581,                0.61344,                0.92991,                 1.0635,                 1.1982,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.0929,                0.88008,                 1.2215,                0.76644,                0.66754,                0.76759,                0.59499,                0.97337,                 1.0941,                 1.2291,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.0921,                0.87879,                 1.2237,                0.78263,                0.71634,                0.78994,                0.62231,                0.97712,                0.99469,                 1.2296,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.0902,                0.86992,                 1.2224,                0.77787,                0.69895,                0.78968,                 0.6185,                 0.9746,                 1.0356,                 1.2295,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.0874,                0.86071,                 1.2143,                 0.8576,                0.66214,                0.79952,                0.63692,                0.95297,                 1.0016,                 1.2141,              0.0088686,              0.0088686,              0.0088686
                     42,                  1.082,                 0.8446,                 1.2163,                0.84494,                0.71204,                0.81489,                 0.6516,                0.94591,                 1.0081,                 1.2092,              0.0088403,              0.0088403,              0.0088403
                     43,                 1.0701,                0.83236,                 1.2059,                0.76153,                0.73298,                0.81267,                 0.6318,                 1.0008,                0.97407,                  1.249,               0.008812,               0.008812,               0.008812
                     44,                 1.0689,                0.83227,                 1.2118,                0.79321,                0.70681,                0.79587,                0.62287,                0.92963,                 1.1274,                 1.2049,              0.0087837,              0.0087837,              0.0087837
                     45,                 1.0649,                0.82278,                 1.1961,                0.84005,                0.72866,                 0.8184,                0.64166,                0.92338,                0.98684,                 1.2042,              0.0087554,              0.0087554,              0.0087554
                     46,                 1.0766,                0.83001,                 1.2158,                0.82271,                0.75654,                0.83364,                0.65569,                0.96287,                0.93338,                 1.2287,              0.0087271,              0.0087271,              0.0087271
                     47,                 1.0646,                0.81779,                  1.207,                0.85113,                0.78272,                0.85357,                 0.6762,                0.93717,                0.86409,                 1.2067,              0.0086989,              0.0086989,              0.0086989
                     48,                 1.0556,                 0.8069,                 1.2012,                0.88036,                0.72775,                0.83519,                0.66259,                 0.9439,                0.91794,                 1.2164,              0.0086706,              0.0086706,              0.0086706
                     49,                 1.0542,                0.80248,                 1.1929,                0.83451,                0.75242,                0.83031,                  0.661,                0.93262,                0.93878,                 1.2024,              0.0086423,              0.0086423,              0.0086423
                     50,                  1.058,                0.80356,                 1.2044,                0.91536,                 0.7199,                0.84519,                0.66844,                0.94946,                0.86045,                 1.2047,               0.008614,               0.008614,               0.008614
                     51,                 1.0578,                0.78097,                 1.1863,                0.88687,                 0.7183,                 0.8457,                0.67268,                0.95419,                0.86032,                 1.2134,              0.0085857,              0.0085857,              0.0085857
                     52,                 1.0543,                0.77305,                 1.1856,                0.83878,                0.74869,                0.84735,                0.67539,                0.93258,                0.88338,                 1.2037,              0.0085574,              0.0085574,              0.0085574
                     53,                 1.0461,                0.77792,                 1.1915,                0.85404,                0.73523,                0.84896,                0.67165,                0.94999,                0.86859,                 1.2106,              0.0085291,              0.0085291,              0.0085291
                     54,                 1.0405,                0.75791,                 1.1818,                0.89077,                 0.7472,                 0.8557,                0.68503,                0.92745,                0.88819,                 1.1923,              0.0085009,              0.0085009,              0.0085009
                     55,                 1.0457,                0.76583,                 1.1917,                0.90547,                0.72718,                0.84417,                0.67762,                0.92074,                 0.8868,                 1.1833,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.0305,                0.75384,                 1.1824,                0.85022,                0.75785,                 0.8363,                0.66393,                0.94326,                 0.9044,                 1.1985,              0.0084443,              0.0084443,              0.0084443
                     57,                 1.0442,                0.75588,                 1.1885,                0.85454,                0.75654,                0.85142,                0.68359,                0.91512,                0.87238,                 1.1872,               0.008416,               0.008416,               0.008416
                     58,                 1.0409,                0.75188,                 1.1827,                0.81999,                0.78534,                0.84517,                0.67712,                0.92892,                0.89606,                 1.1904,              0.0083877,              0.0083877,              0.0083877
                     59,                 1.0316,                0.74001,                 1.1742,                0.89609,                 0.7199,                0.84616,                 0.6704,                0.91925,                0.92901,                 1.1877,              0.0083594,              0.0083594,              0.0083594
                     60,                 1.0311,                0.73143,                 1.1742,                0.88232,                0.76702,                0.85377,                0.67588,                0.92456,                0.86417,                  1.186,              0.0083311,              0.0083311,              0.0083311
                     61,                 1.0339,                0.74057,                 1.1793,                0.89425,                0.75266,                0.85943,                0.68344,                0.92181,                0.85221,                 1.1935,              0.0083029,              0.0083029,              0.0083029
                     62,                 1.0193,                0.73509,                 1.1729,                0.88532,                0.78815,                0.87017,                0.69351,                0.91565,                0.81658,                 1.1899,              0.0082746,              0.0082746,              0.0082746
                     63,                 1.0264,                0.72482,                 1.1764,                0.86754,                0.80583,                0.86883,                0.69877,                0.89964,                0.82174,                 1.1726,              0.0082463,              0.0082463,              0.0082463
                     64,                 1.0284,                0.72378,                 1.1736,                0.88659,                0.77767,                0.87859,                0.70445,                0.90609,                0.80071,                 1.1766,               0.008218,               0.008218,               0.008218
                     65,                 1.0085,                0.72362,                 1.1704,                0.89377,                0.77084,                0.87107,                0.69391,                0.91388,                0.80061,                 1.1877,              0.0081897,              0.0081897,              0.0081897
                     66,                 1.0213,                0.71491,                 1.1725,                0.90012,                0.79058,                0.87462,                0.69374,                0.90751,                0.83722,                 1.1774,              0.0081614,              0.0081614,              0.0081614
                     67,                 1.0206,                0.71405,                 1.1712,                0.85351,                 0.8089,                0.86771,                0.69565,                0.88845,                0.83364,                 1.1664,              0.0081331,              0.0081331,              0.0081331
                     68,                 1.0159,                0.70866,                 1.1584,                0.89819,                0.80366,                0.88532,                0.71112,                0.89504,                0.78859,                 1.1674,              0.0081049,              0.0081049,              0.0081049
                     69,                 1.0064,                0.69918,                 1.1554,                0.90646,                  0.761,                0.87096,                0.69125,                0.91152,                0.83235,                 1.1827,              0.0080766,              0.0080766,              0.0080766
                     70,                 1.0142,                0.70742,                 1.1607,                 0.8855,                0.80978,                0.88368,                 0.7099,                0.90699,                0.78551,                  1.184,              0.0080483,              0.0080483,              0.0080483
                     71,                 1.0045,                0.68669,                 1.1581,                0.89136,                0.79471,                0.87941,                0.70164,                0.91696,                0.80378,                 1.1836,                0.00802,                0.00802,                0.00802
                     72,                 1.0005,                0.69638,                 1.1687,                0.90864,                0.80709,                0.88799,                0.70478,                0.92621,                0.77184,                 1.1948,              0.0079917,              0.0079917,              0.0079917
                     73,                 1.0121,                0.69686,                 1.1624,                0.93241,                0.75836,                0.88499,                0.70678,                0.89881,                0.77196,                 1.1739,              0.0079634,              0.0079634,              0.0079634
                     74,                 0.9841,                0.68617,                 1.1549,                0.88852,                0.79581,                0.88285,                0.70508,                0.90352,                0.76661,                 1.1741,              0.0079351,              0.0079351,              0.0079351
                     75,                 1.0013,                0.67909,                 1.1527,                0.89252,                0.81152,                0.89626,                0.71957,                0.88598,                0.72633,                 1.1638,              0.0079069,              0.0079069,              0.0079069
                     76,                 1.0015,                0.67626,                 1.1543,                0.91837,                 0.8089,                0.89633,                0.72199,                0.88126,                0.72696,                 1.1654,              0.0078786,              0.0078786,              0.0078786
                     77,                0.99727,                0.68798,                 1.1564,                 0.9036,                0.80977,                0.88721,                0.71046,                 0.9002,                0.73352,                 1.1704,              0.0078503,              0.0078503,              0.0078503
                     78,                0.99339,                0.67389,                 1.1526,                0.90192,                0.81152,                0.88994,                0.71368,                0.88646,                0.73842,                 1.1614,               0.007822,               0.007822,               0.007822
                     79,                0.99907,                0.67278,                 1.1503,                0.90011,                0.81152,                0.89309,                0.72185,                0.88703,                0.71795,                 1.1637,              0.0077937,              0.0077937,              0.0077937
                     80,                0.99136,                0.66287,                 1.1415,                0.92641,                0.80366,                0.89203,                0.71647,                0.90381,                0.71307,                 1.1782,              0.0077654,              0.0077654,              0.0077654
                     81,                0.98294,                0.65239,                 1.1481,                0.90393,                0.81152,                 0.8886,                0.71363,                0.89903,                0.75224,                 1.1712,              0.0077371,              0.0077371,              0.0077371
                     82,                0.97766,                0.65556,                 1.1465,                0.89884,                0.81413,                0.89894,                 0.7288,                0.88073,                0.71789,                 1.1622,              0.0077089,              0.0077089,              0.0077089
                     83,                0.98778,                0.65315,                  1.149,                0.96044,                0.77487,                0.89317,                0.72027,                0.90178,                0.72018,                 1.1769,              0.0076806,              0.0076806,              0.0076806
                     84,                0.98534,                0.65479,                 1.1463,                0.93346,                0.80788,                0.89154,                0.71973,                0.88157,                 0.7098,                 1.1626,              0.0076523,              0.0076523,              0.0076523
                     85,                0.98195,                0.64502,                 1.1405,                0.92286,                0.78534,                0.89029,                 0.7256,                0.88455,                0.69817,                 1.1637,               0.007624,               0.007624,               0.007624
                     86,                0.97773,                0.64061,                 1.1429,                0.95043,                0.80308,                0.89602,                0.72031,                0.89752,                0.72511,                 1.1658,              0.0075957,              0.0075957,              0.0075957
                     87,                0.97231,                0.63991,                 1.1392,                0.91092,                0.83508,                0.90286,                0.72915,                0.88972,                0.68878,                 1.1586,              0.0075674,              0.0075674,              0.0075674
                     88,                 0.9858,                 0.6571,                 1.1444,                 0.9273,                0.83246,                0.90628,                0.73383,                0.87945,                0.66968,                 1.1525,              0.0075391,              0.0075391,              0.0075391
                     89,                 0.9747,                0.64456,                  1.139,                0.94348,                0.81937,                0.90701,                0.73496,                0.88172,                0.70072,                 1.1546,              0.0075109,              0.0075109,              0.0075109
                     90,                0.97532,                0.64177,                 1.1475,                0.95374,                0.80366,                0.89963,                0.73426,                0.89177,                0.72448,                 1.1584,              0.0074826,              0.0074826,              0.0074826
